|Content|Sentiment
915|Tengo ganas de dormir porque esta re frio y re lindo pero no tengo sueño|NEU
916|@AlbertoRaimundi Es shileno, Alberto, nada más que agregar, ajajajaja. Beso!|N
917|@sbarreiro1985 como puede ver en el gif, fue una pelea limpia, sin armas, cualquiera de los dos podía ganar!|NEU
918|Que vengan los gurices que te juntabas hace mil año , y te digan para volver a juntarse. Es re lindo|P
919|@tetirounpique GRACIAS !!! los piques serán primicias tuyas !|P
920|Yo quiero pasar nuestros noveno cumple mes juntinhos pero ya veo que no|N
921|@carodominguezuy @Zanocchi @luciabrocal fue whatsapp! Si no lo convencemos, se van las dos con Feli en fin de semana de disfrute total|NEU
922|@DonVascolet hermosa edad ,espero este disfrutando y traiga fotos|P
923|Jaja tremendo cuerpo y es una nena|P
924|Again me despierto tarde por andar viendo las chicas superpoderosas y kick buttowsky en la noche|N
925|@ElConservadorUY 2,98 No alcanza ni para un batido decente!!|N
926|Quería un juguito y no puedo por el colorante|N
927|Hoy tengo el cumple de mi tio|NONE
928|@armadacolombia Increibles fotos, muy lindas la verdad!!|P
929|@NinetalesGD NO ME JODAS... que gran lastima|N
930|@BenjaCandado eres una de las mejores personas que he conocido en mi vida|P
931|@SonrisaDeCaeli dos cosas 1-Siento que casi todas las indirectas son para mi 2 por tu icon tuve que activar modo nocturno para verte|NEU
932|Que lindo, los aliens eligieron visitar a Uruguay la próxima aterricen con más tranquilidad! #temblor|N
933|Nos separan mas de 9KM y quieres JAJAJAJAJAJAJAJAJAJAJAJAJAJA Te juro que eres muy chistos@|P
934|@CuadradoAndres @grazianopascale @adeladubra jaja muchas gracias!!! muy buena onda de todos los implicados!!!|P
935|Sería más divertido tw si yo supiera usar cc|NEU
936|@Niaso01 @LuisSuarez9 @neymarjr El fútbol es hermoso, y más cdo se juntan talentos como éstos.|P
937|#FelizDOMINGO que la paz de dios llene tu vida en este bello día #bendiciones para todos|P
938|@AmorAKilates @Roocio_Mk si me pasa lo mismo!|NONE
939|@clauchoarrionda pquno ladra y ls demas retwitean|NEU
940|A mi desayuno le hizo falta un alfajor podrida de las galletas de arroz|N
941|Viste cuando necesitas que alguien te escuche pero ese alguien no está? bueno|N
942|@cuervotinelli @candetinelli Mañana es mi primer sesión  , Vamo a tapar el tajo ...|NEU
